"-- Please Select --","-- Faites un choix --",-
"Order #%s - Unable to partially validate the transaction.","Commande n°%s - Impossible de valider partiellement la transaction.",app/code/community/Fianet/Payment3xcb/controllers/Adminhtml/Transaction/ControlController.php
"Order #%s - Unable to validate the transaction.","Commande n°%s - Impossible de valider la transaction.",app/code/community/Fianet/Payment3xcb/controllers/Adminhtml/Transaction/ControlController.php
"Order ID is empty","Le n° de commande est vide",app/code/community/Fianet/Payment3xcb/controllers/Adminhtml/Transaction/ControlController.php
"Order not found","La commande n'a pas été trouvée",app/code/community/Fianet/Payment3xcb/controllers/Adminhtml/Transaction/ControlController.php
"Transaction Control","Contrôle des transactions",app/code/community/Fianet/Payment3xcb/controllers/Adminhtml/Transaction/ControlController.php
"Transaction not found","La transaction n'a pas été trouvée",app/code/community/Fianet/Payment3xcb/controllers/Adminhtml/Transaction/ControlController.php

"3xCB error","Erreur 3xCB",app/code/community/Fianet/Payment3xcb/controllers/PaymentController.php
"An error occurred during payment redirection: %s","Une erreur est survenue pendant la redirection vers la plateforme de paiement : %s",app/code/community/Fianet/Payment3xcb/controllers/PaymentController.php
"Automatic Update","Mise à jour automatique",app/code/community/Fianet/Payment3xcb/controllers/PaymentController.php
"Back From 3xCB Platform","Retour depuis la plateforme 3xCB",app/code/community/Fianet/Payment3xcb/controllers/PaymentController.php
"Checksum error","Erreur de somme de contrôle",app/code/community/Fianet/Payment3xcb/controllers/PaymentController.php
"Order #%s","Commande n°%s",app/code/community/Fianet/Payment3xcb/controllers/PaymentController.php
"Payment aborted","Paiement abandonné",app/code/community/Fianet/Payment3xcb/controllers/PaymentController.php
"Payment aborted, you can try to place your order again","Paiement abandonné, vous pouvez réessayer de passer votre commande",app/code/community/Fianet/Payment3xcb/controllers/PaymentController.php
"Redirect To 3xCB Platform","Redirection vers la plateforme 3xCB",app/code/community/Fianet/Payment3xcb/controllers/PaymentController.php
"Unknown Error","Erreur inconnue",app/code/community/Fianet/Payment3xcb/controllers/PaymentController.php

"3xCB Transactions Control","Contrôle des transactions 3xCB",app/code/community/Fianet/Payment3xcb/etc/adminhtml.xml
"FIA-NET 3xCB","FIA-NET 3xCB",app/code/community/Fianet/Payment3xcb/etc/adminhtml.xml
Logs,Journal,app/code/community/Fianet/Payment3xcb/etc/adminhtml.xml

"Pending 3xCB","En attente de 3xCB",app/code/community/Fianet/Payment3xcb/etc/config.xml

"Available For","Disponible pour",app/code/community/Fianet/Payment3xcb/etc/system.xml
"Available For Customer Groups","Disponible pour les groupes clients",app/code/community/Fianet/Payment3xcb/etc/system.xml
Debug,Debug,app/code/community/Fianet/Payment3xcb/etc/system.xml
Enabled,Activé,app/code/community/Fianet/Payment3xcb/etc/system.xml
"FIA-NET 3xCB - Payment in 2, 3 or 4 times by credit card","FIA-NET 3xCB - Paiement en 2, 3 ou 4 fois par carte bancaire",app/code/community/Fianet/Payment3xcb/etc/system.xml
"Maximum Order Total","Montant maximum de commande",app/code/community/Fianet/Payment3xcb/etc/system.xml
"Merchant Reference","Référence e-commerçant",app/code/community/Fianet/Payment3xcb/etc/system.xml
"Minimum Order Total","Montant minimum de commande",app/code/community/Fianet/Payment3xcb/etc/system.xml
"New Order Status","Statut d'une nouvelle commande",app/code/community/Fianet/Payment3xcb/etc/system.xml
"Payment from Applicable Countries","Mode de paiement autorisé pour",app/code/community/Fianet/Payment3xcb/etc/system.xml
"Payment from Specific Countries","Mode de paiement autorisé pour les pays spécifiques",app/code/community/Fianet/Payment3xcb/etc/system.xml
"Secret Key","Clé secrète",app/code/community/Fianet/Payment3xcb/etc/system.xml
"Sort Order","Ordre de tri",app/code/community/Fianet/Payment3xcb/etc/system.xml
"Test Mode","Mode test",app/code/community/Fianet/Payment3xcb/etc/system.xml
"The merchant reference is provided in your 3xCB account","La référence e-commerçant est fournie dans votre compte 3xCB",app/code/community/Fianet/Payment3xcb/etc/system.xml
